admin@lpmt.com,6735862e-8be9-4ac8-ae3a-d85b60e95925,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,ADMIN,true,true
Mary.Gill@yahoo.com,28eaf50e-aa18-43a7-952e-2aa43d0d18df,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Heather.Lambert@gmail.com,0f75d246-95f3-4995-8481-f2620d045688,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
David.Mack@yahoo.com,a45b1e0f-b6dd-4f43-bd9e-3d227b8d03c5,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Beth.Marshall@hotmail.com,7e624754-0df1-4574-a9d8-3a671930809a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jason.Collins@yahoo.com,9256675f-8c38-4672-80af-827cc844108c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Brian.Burke@gmail.com,3bb4ca82-12ae-4339-9b2d-6b15aecd32dd,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kayla.Shah@gmail.com,86b8bc57-555d-426b-871f-f8b66a4ac78c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Amanda.Reed@yahoo.com,e08dd8be-a010-43ed-b1a9-75651842a063,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Gary.Ramirez@gmail.com,e2af8df3-972a-48bc-b27f-19626c1fb4e7,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Margaret.Rogers@gmail.com,8e57c65a-f890-4d07-9b03-e3fe333ab713,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Mary.Allen@gmail.com,753f9cce-60e9-40f5-80e3-b3d0bbb8abc8,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Timothy.Matthews@hotmail.com,e4c4acc4-69ec-4f6c-a7d3-017b9fc35b8c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Joseph.Vasquez@yahoo.com,a28302ce-5351-4fa4-b798-1789a65e8ebf,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Andrew.Weiss@yahoo.com,b67375c5-982a-4904-979f-f8540790d579,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Anthony.Wood@yahoo.com,b9571b92-9ce1-4421-8e8b-498cc6957fe6,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Elizabeth.Hill@gmail.com,ad9ed1f7-3ec9-4e6a-a22f-a4a0039cbd94,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Cameron.Ferguson@yahoo.com,e2e0ac1e-2f58-42e1-8ba4-9783694ba37f,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Emily.Robinson@hotmail.com,393c9906-b444-478f-a504-ef5d80595567,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kimberly.Taylor@yahoo.com,70628f13-812b-4a1b-b90b-e90a045fca0c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Vickie.Wilson@gmail.com,6a2246d1-31f5-424e-8cc7-2c9c4fd86dae,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Charles.Pena@gmail.com,2fd320a3-486a-40ca-a0c6-c7c5ebba72a3,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Samuel.Rubio@hotmail.com,eeceed7e-d3b3-4c76-90da-bd8b2ef42419,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Shawn.Fox@yahoo.com,1e6ca41a-dd24-40d9-97b3-b18a58ce275e,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Lisa.Matthews@hotmail.com,bd7dd250-a2ed-467d-b7d0-32563c88f77c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Todd.Davis@hotmail.com,33dd0754-378f-48ed-b3ae-7b72417b6b57,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Xavier.Ortiz@hotmail.com,3064c91e-93b2-4f19-8e91-aaa14e316f9a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Wanda.Guerrero@yahoo.com,39f36ea6-7bc1-4d67-becd-1fa37433f76c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Todd.Johnson@gmail.com,3d162c35-bd80-4c19-836d-e127c623af47,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
George.Hess@hotmail.com,72b76e89-7548-424d-9520-a41f45ed815f,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Ashley.Clark@yahoo.com,6fe3dcd0-0bc0-4a93-8fe2-ddb1439e6aa0,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
David.Case@yahoo.com,7f9aff9b-9f86-469e-9e1e-3107b77757a0,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Ashley.King@gmail.com,7ec68ee5-f875-4145-9276-9513db4c6ca8,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Ryan.Gonzalez@yahoo.com,33ad1142-c09a-4e05-9bc9-1119efdf2dce,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Theresa.Larson@gmail.com,493c9a17-dd93-4c02-ac6a-7910582b5116,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Todd.Campbell@gmail.com,c2f3afe1-1ba0-49a3-8fea-a96f7b46d05d,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Wanda.Sullivan@yahoo.com,baed886e-4eea-4088-b296-658a2a7e17ad,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Thomas.Lewis@gmail.com,8276f8b8-4200-4228-95bc-97ebe2d07b6a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Joshua.Green@gmail.com,1c9f4ba9-e2f7-4ebb-9162-3387d04f3aee,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Timothy.Le@hotmail.com,6952a436-b83b-4fb6-beec-d386562513f2,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Tammy.Weiss@hotmail.com,a11cd2e0-8138-44cb-b8c6-5f0513dae641,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Donna.Mclaughlin@hotmail.com,3e92c3c7-6642-44cd-9507-224feba2edbb,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jasmine.Carson@gmail.com,52fc6bf1-efbb-428d-81ab-42856e617eca,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Stephanie.Schmidt@yahoo.com,c3305415-be59-4e8c-a708-9e9d68e7f0f4,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Bryan.Maldonado@gmail.com,e6f19b9f-0ef0-490b-9f80-f3c6fbb6b789,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Tiffany.Miller@yahoo.com,85e351a7-1e3b-490a-9c10-929b1505ed26,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jennifer.Campbell@gmail.com,ef4d4e3c-d9de-43dd-b159-a86e2003894c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Sara.Bullock@gmail.com,0d66acf9-6c18-4e5b-8dcd-950e9e56ffcd,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Nicholas.Myers@hotmail.com,785f0891-b7aa-4249-a8e9-024ad5439d29,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Bridget.Ramos@hotmail.com,373266d1-a125-43c8-97b2-ebbdd30c423e,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kendra.Strickland@yahoo.com,eed0d3be-b0dc-43a2-802b-8d9870b19eed,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kevin.Rogers@gmail.com,92daa2d4-de39-4bcf-947e-30fe971df34e,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Haley.Avery@gmail.com,f4c34d32-1924-4a8a-b36e-0bca0aeaca10,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Paul.Parrish@yahoo.com,6bae5cde-2b73-4208-8366-7cb540614b68,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Laura.Flores@hotmail.com,0a145cf4-405e-4d5e-829c-3a0a367cfa81,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Ashley.Franco@hotmail.com,7dcfd091-77c9-4eae-86e3-ab4705ea9da0,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jerry.Warren@gmail.com,fc14f0c9-77ec-4491-9217-5ecd40866fa8,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kimberly.Brown@gmail.com,905320ea-05d8-4798-b375-7f2155aca23a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Charles.Hale@gmail.com,2631518e-204b-4142-a11a-683af9d42299,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Nicole.Thornton@yahoo.com,b9963082-470a-41d8-8eca-b440ecef09dc,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Anthony.Sanchez@yahoo.com,dedc1f1c-e040-4f9c-8029-7bd7d44ad640,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Megan.Carr@hotmail.com,a6a7d0c3-82ab-40ca-9d66-58923f279a42,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Leslie.Kelly@yahoo.com,55cfdb1c-fcea-4fd7-a91c-0f02255d942c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Rick.Olsen@yahoo.com,c80fe3d1-fe08-4af8-b278-5712b106bd83,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kimberly.Gonzalez@gmail.com,a297c455-dfb9-4e59-bbaa-e38721ecee59,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Gregory.Sherman@yahoo.com,50b54766-38cb-4b71-b689-5f8f05be8850,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Christian.Jones@yahoo.com,7c10afe4-e0e5-4494-bd4e-91466914356f,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Zachary.Johnston@yahoo.com,a0b711e0-2443-49ac-9c50-6126bd834a3a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Amanda.Hughes@gmail.com,d333290f-c0fe-44ab-9f6b-2c9736c61633,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Mark.Watts@yahoo.com,c5b7880d-a995-4676-93be-c1dc8986eae8,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Yvonne.Chan@yahoo.com,a4711290-a3d3-4541-8e64-ccd82b164548,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Stephanie.Schaefer@gmail.com,5cf4c131-0cbf-474b-a354-f2c6ab0e1ddc,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Matthew.Hamilton@hotmail.com,d3f1a9e1-dc5f-4737-ba97-7f7cfc19a980,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Linda.Mckenzie@gmail.com,9d8511bd-35b0-4ca2-98de-dcb5fd27aeb7,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Richard.Knight@hotmail.com,a5f9ef6d-711c-44f4-b355-f14c1856ff9d,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Isabella.Taylor@yahoo.com,55ddb5e4-44df-4d17-bf18-2b6e98227b06,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Becky.Cordova@hotmail.com,241de933-6ab7-435e-aa5f-2bfc968687c7,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Rachel.Bowman@yahoo.com,d2aa5198-8047-4e39-bf7a-7fb218a11672,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Mercedes.Chambers@yahoo.com,63b573e7-51f0-4116-b5ad-b26ea2ce96af,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Janet.Parker@yahoo.com,5135c593-b770-41cb-99c6-757caf6128f5,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Matthew.Ramirez@hotmail.com,07b8ee0e-7859-42f6-b190-99398ef98cb8,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kyle.Jackson@hotmail.com,f60e9c7f-eb85-409b-a1bb-d5df55c28593,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Deborah.Reynolds@hotmail.com,821f804f-8569-40fb-8b5d-6e227c1b16e4,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Diana.Johnson@gmail.com,d7715bab-f8f5-42bb-b703-7e0b99d07320,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Megan.Greer@gmail.com,52843632-96ec-4a37-b205-1c941d969c61,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Mckenzie.Washington@gmail.com,eb34e859-4b3d-45b6-bc5f-226514d65013,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Alice.Brewer@gmail.com,0750f633-d422-45e2-af96-78ed0b5a3d7c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Franklin.Henry@yahoo.com,00dde017-3f81-4c63-a963-d6644891ffb1,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Ann.Curry@hotmail.com,0e7352d7-79a8-4dba-94f4-273d55f90414,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Troy.Davis@gmail.com,99de7cae-de2e-4b32-a955-423d1599793d,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Taylor.Jones@yahoo.com,cf621907-889e-4c1c-ae98-60cca3468ccb,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
James.Bailey@gmail.com,26b3055d-22b6-4de0-aefa-5c3b81ce390c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Martin.Gomez@gmail.com,4a4ddfc6-843d-4674-83ea-4ec90db35dff,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Tiffany.Evans@yahoo.com,898ac66f-1a75-414d-bfe6-a4fa55585692,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Sean.Carson@yahoo.com,e96a2380-bb9c-41e7-a9eb-c492fdf04ce8,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Robert.Golden@hotmail.com,94b16008-c899-4240-93b5-fb57e584e3e3,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Annette.Cox@gmail.com,db7813b3-f7b7-42c0-804c-c7eddb3cfa33,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jeremy.Smith@hotmail.com,62a3ffc1-e64d-49fe-8abd-6e3b25691473,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Adrian.Dean@hotmail.com,eb00b0b0-946d-4409-8e9a-ef61012c2665,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Gloria.Davis@hotmail.com,25a78840-ac2c-4f8e-8de4-51d4ccdd92f0,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Julie.Fleming@gmail.com,27d49323-7372-41eb-9b6d-be2bd62de81b,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Christopher.Taylor@gmail.com,45e947e2-1dca-4f4f-b7f4-370bc006276a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Michael.Bullock@hotmail.com,951f6b79-ed53-49f5-b505-828fa71e1335,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Michael.Medina@yahoo.com,9f276551-fef7-412f-8589-5b0ab30f288a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Charles.Bender@yahoo.com,e6304f24-85e9-4d0a-b663-fe44b170c412,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Christy.Meyers@hotmail.com,e1d5c5e2-c109-4430-8d3b-b2e4add25059,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Kari.Hayes@yahoo.com,1c686687-3c0e-4f30-8c26-f06d030d1723,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Louis.Thomas@yahoo.com,6ac7a52c-c692-4e8e-ac88-cd8e0681b1ca,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Charles.Tapia@hotmail.com,cca784ec-a5c3-47e6-9f23-206260694142,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Lisa.Anderson@gmail.com,16995c2e-53de-4ec4-87d3-c3abcba994f1,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
William.Wallace@gmail.com,6c20ee46-9442-49ee-b550-07a50a88738d,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Robert.Chapman@hotmail.com,43f3aa78-2599-45ba-98a6-2d7522b480a5,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Brad.Fitzgerald@yahoo.com,d60ce952-8cdb-4433-9747-e88aed5af6cd,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Timothy.Tucker@gmail.com,184608f5-8e11-4bf5-a990-de18aaa8048a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Cynthia.Wright@hotmail.com,abbd40e5-6070-47ed-a049-5a6a7d0c95ed,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Emily.Schneider@gmail.com,00d659ee-e0bf-4b21-accc-cc5b25a3a403,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Michael.Davis@gmail.com,dd973743-4630-477c-a7f2-b15de6fcc32c,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Paula.Nguyen@hotmail.com,163c23d5-2bc7-48d8-b6fd-7304cbed99a1,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Michael.Green@gmail.com,3ce41cda-5f82-460b-a27e-43cd10475c3a,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jeffery.Mercado@yahoo.com,26ed8244-a0cf-4dd3-ad24-5d22b5d1abd3,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Brett.Jones@gmail.com,7c555c36-aa5f-4fb5-87fc-bcf304cb9fc6,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Erin.Lane@hotmail.com,663e967f-9b72-43f1-a7c3-9d1e5920aedc,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Haley.Kelly@gmail.com,c05d7db5-bb4a-42a6-a77c-b57c5015bbfb,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Jordan.Powers@hotmail.com,009edae5-8797-474a-815a-c139ce51b3d1,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
Michelle.Hutchinson@yahoo.com,7870f3c6-eeb6-4c84-8c1f-574b0ce46be6,'a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3',PATIENT,true,false
